Class,Subclass,SubclassCategory,Commands,Response,Label
Bike,Edge,Battery/Fuel,Are there any energy-saving modes or settings I can enable?,"Yes, there are energy-saving modes and settings; I'll show you how to enable them.",1
Bike,Edge,Battery/Fuel,Can I check the history of my battery's charging cycles?,"Yes, you can check your battery's charging cycle history; I'll show you how.",1
Bike,Edge,Battery/Fuel,Is there a way to analyze my riding habits and their impact on battery life?,"Yes, you can analyze your riding habits and their impact on battery life; I'll explain how.",1
Bike,Edge,Battery/Fuel,Can I set preferences for charging thresholds to balance battery health and range?,"Yes, you can set preferences for charging thresholds; I'll guide you on how to do it.",1
Bike,Edge,Battery/Fuel,How does battery degradation vary based on different riding conditions?,Battery degradation varies based on riding conditions; I'll explain the differences.,1
Bike,Edge,Battery/Fuel,"How many charging cycles has my battery gone through, and how does that compare to its expected lifespan?",Your battery has gone through [number] charging cycles; I'll compare it to the expected lifespan.,1
Bike,Edge,Battery/Fuel,Can you provide insights into battery degradation over time?,"Yes, I can provide insights into how your battery degrades over time.",1
Bike,Edge,Battery/Fuel,Can you analyze my recent battery usage trends?,"Yes, I can analyze your recent battery usage trends to provide insights.",1
Bike,Edge,Battery/Fuel,How can I assess the health of my battery?,I'll provide you with methods to assess the health of your battery accurately.,1
Bike,Edge,Battery/Fuel,Can I optimize my driving habits to conserve battery?,"Yes, optimizing your driving habits can help conserve battery; I'll provide tips.",1
Bike,Edge,Battery/Fuel,Is there an eco mode that optimizes battery usage?,"Yes, there's an eco mode that optimizes battery usage for extended range.",1
Bike,Edge,Battery/Fuel,How do I recalibrate my battery for accurate range estimation?,I'll guide you through the process of recalibrating your battery for accurate range estimation.,1
Bike,Edge,Battery/Fuel,Can you recommend a charging strategy for long-term battery health?,"Yes, I'll recommend a charging strategy to optimize long-term battery health.",1
Bike,Edge,Battery/Fuel,How does my driving speed affect battery consumption?,Driving speed has a significant impact on battery consumption; I'll explain the correlation.,1
Bike,Edge,Battery/Fuel,Can you analyze my recent battery performance to identify any anomalies?,"Yes, I can analyze your recent battery performance and identify any anomalies.",1
Bike,Edge,Battery/Fuel,Can you recommend a battery maintenance schedule for optimal performance?,"Certainly, I'll recommend a battery maintenance schedule to ensure optimal performance and longevity.",1
Bike,Edge,Battery/Fuel,Check current Fuel Level,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Please refuel the bike,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Efficiency Report,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Reserve Fuel Activation,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Deactivate Reserve Fuel,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Tank Lock,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Unlock Fuel Tank,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Consumption History,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Low Fuel Warning,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Gauge Calibration,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Tank Ventilation,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Emergency Fuel Cut-Off,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Pump Activation,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Injector Test,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel System Diagnostics,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Cap Status,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Additive Usage,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Filter Check,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Pressure Check,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Tank Capacity,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Tank Draining,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Level Sensor Test,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Injection Timing,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Line Inspection,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Pump Relay Test,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel Pump Shutdown,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Fuel System Flush,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How much fuel do I have left?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,When was the last time I refueled?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is it time to refuel?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What is my current fuel level?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How far can I go on the remaining fuel?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can you check the fuel gauge for me?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Any alerts regarding low fuel?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How is my fuel efficiency?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Did I leave the fuel cap open?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a fuel leak alert?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,When is the next scheduled refueling?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a preferred fuel type for my vehicle?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the trend in my fuel consumption?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Any tips for improving fuel efficiency?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How often should I check the fuel level?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a preferred time for refueling?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can you suggest fuel-saving driving habits?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How does my current fuel level compare to the average?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the recommended fuel for my vehicle model?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Should I consider a fuel system check?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Any maintenance tips to optimize fuel performance?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can you remind me to refuel when the level is low?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is the fuel tank properly sealed?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the historical trend in my fuel expenses?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Check battery charge.,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the current battery status?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How much charge is remaining in the battery?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is the battery fully charged?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Check battery health.,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is the battery in good condition?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the battery temperature?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How efficient is the battery usage?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Check battery voltage.,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the voltage of the battery?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there any battery degradation?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How long can I ride with the current battery charge?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Any alerts about low battery?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the average energy consumption?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Are there any tips to improve battery life?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Check battery efficiency.,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How often should I monitor the battery?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a recommended charging schedule?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Any recommendations for extending battery lifespan?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the historical trend in battery usage?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can you provide details on the battery's charging history?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How quickly does the battery drain?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the estimated range based on the current battery charge?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a feature to optimize battery usage?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Any suggestions for preserving battery health during storage?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can I set up notifications for low battery levels?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a way to remotely monitor battery status?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can you recommend a charging schedule for optimal performance?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the average lifespan of the battery?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Are there any software updates to improve battery efficiency?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,How does battery performance vary in different riding conditions?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a feature to automatically adjust power usage based on riding habits?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can I view real-time battery usage metrics?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Are there any eco-friendly charging options available?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,What's the best practice for storing the battery when not in use?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can I receive alerts for abnormal battery behavior?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Is there a feature to optimize charging based on electricity rates?,Processing your fuel related command please wait,1
Bike,Edge,Battery/Fuel,Can I set up reminders for regular battery maintenance?,Processing your fuel related command please wait,1
Bike,Edge,Tires/Tyres,Check the current Tire Pressure,I'll check the tire/tyre pressure for you.,1
Bike,Edge,Tires/Tyres,Inflate Tires/Tyres,I'll inflate the Tires/Tyres to the recommended pressure.,1
Bike,Edge,Tires/Tyres,Deflate Tires/Tyres,I'll deflate the Tires/Tyres if necessary.,1
Bike,Edge,Tires/Tyres,Rotate Tires/Tyres,I'll rotate the Tires/Tyres to ensure even wear.,1
Bike,Edge,Tires/Tyres,Align Tires/Tyres,I'll check and adjust the tire/tyre alignment.,1
Bike,Edge,Tires/Tyres,Check Tread Depth,I'll measure the tread depth of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Inspect Tire Condition,I'll examine the overall condition of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Change Tires/Tyres,I'll replace the Tires/Tyres if needed.,1
Bike,Edge,Tires/Tyres,Balance Tires/Tyres,I'll balance the Tires/Tyres for smooth operation.,1
Bike,Edge,Tires/Tyres,Check Tire Temperature,I'll monitor the tire/tyre temperature for any anomalies.,1
Bike,Edge,Tires/Tyres,Check Tire Wear,I'll inspect the Tires/Tyres for signs of wear.,1
Bike,Edge,Tires/Tyres,Monitor Tire Health,I'll keep an eye on the overall health of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Install Winter Tires/Tyres,I'll install winter Tires/Tyres if required for colder weather.,1
Bike,Edge,Tires/Tyres,Swap Front and Rear Tires/Tyres,I'll swap the front and rear Tires/Tyres for even wear.,1
Bike,Edge,Tires/Tyres,Check Spare Tire Condition,I'll inspect the spare tire/tyre to ensure it's in good condition.,1
Bike,Edge,Tires/Tyres,Assess Tire Damage,I'll assess any damage to the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Adjust Tire Position,I'll adjust the tire/tyre position as needed.,1
Bike,Edge,Tires/Tyres,Install Tubeless Tires/Tyres,I'll install tubeless Tires/Tyres if required.,1
Bike,Edge,Tires/Tyres,Inspect Valve Stems,I'll inspect the valve stems for any issues.,1
Bike,Edge,Tires/Tyres,Verify Tire Size,I'll verify that the Tires/Tyres match the correct size.,1
Bike,Edge,Tires/Tyres,Check for Punctures,I'll check for any punctures in the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Evaluate Tire Traction,I'll evaluate the traction of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Assess Tire Age,I'll assess the age of the Tires/Tyres for replacement.,1
Bike,Edge,Tires/Tyres,Verify Tire Manufacturer,I'll confirm the manufacturer of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Inspect Tire Sidewalls,I'll inspect the sidewalls of the Tires/Tyres for damage.,1
Bike,Edge,Tires/Tyres,Check Tire Load Capacity,I'll verify the load capacity of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Inspect Tire Rim Condition,I'll inspect the condition of the tire/tyre rims.,1
Bike,Edge,Tires/Tyres,Assess Tire Tread Pattern,I'll assess the tread pattern for optimal performance.,1
Bike,Edge,Tires/Tyres,Verify Recommended Tire Pressure,I'll provide you with the recommended tire/tyre pressure.,1
Bike,Edge,Tires/Tyres,Install Run-Flat Tires/Tyres,I'll install run-flat Tires/Tyres if needed.,1
Bike,Edge,Tires/Tyres,How is the tire/tyre pressure?,The tire/tyre pressure is within the recommended range.,1
Bike,Edge,Tires/Tyres,Are all the Tires/Tyres properly inflated?,"Yes, all Tires/Tyres are properly inflated.",1
Bike,Edge,Tires/Tyres,Can you check if there are any punctures in the Tires/Tyres?,There are no punctures found in the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,When was the last time the tire/tyre pressure was checked?,The tire/tyre pressure was last checked [date].,1
Bike,Edge,Tires/Tyres,Are the Tires/Tyres in good condition?,"Yes, the Tires/Tyres are in good condition.",1
Bike,Edge,Tires/Tyres,Have the Tires/Tyres been rotated recently?,"Yes, the Tires/Tyres have been rotated recently.",1
Bike,Edge,Tires/Tyres,Is there any abnormal wear on the Tires/Tyres?,"No, there is no abnormal wear on the Tires/Tyres.",1
Bike,Edge,Tires/Tyres,Are the tire/tyre treads still in good shape?,"Yes, the tire/tyre treads are in good shape.",1
Bike,Edge,Tires/Tyres,Can you verify the tire/tyre alignment?,The tire/tyre alignment is within specifications.,1
Bike,Edge,Tires/Tyres,Do I need to consider replacing any of the Tires/Tyres?,"No, all Tires/Tyres are in good condition and don't need replacement.",1
Bike,Edge,Tires/Tyres,Are the Tires/Tyres suitable for the current weather conditions?,"Yes, the Tires/Tyres are suitable for the current weather conditions.",1
Bike,Edge,Tires/Tyres,Have the Tires/Tyres been balanced recently?,"Yes, the Tires/Tyres have been balanced recently.",1
Bike,Edge,Tires/Tyres,"Is there a spare tire/tyre, and is it in good condition?","Yes, there is a spare tire/tyre and it's in good condition.",1
Bike,Edge,Tires/Tyres,When was the last time the tire/tyre pressure warning light came on?,The tire/tyre pressure warning light last came on [date].,1
Bike,Edge,Tires/Tyres,Can you provide information on the tire/tyre warranty?,The tire/tyre warranty provides coverage for [details].,1
Bike,Edge,Tires/Tyres,Are the Tires/Tyres compatible with the vehicle specifications?,"Yes, the Tires/Tyres are compatible with the vehicle specifications.",1
Bike,Edge,Tires/Tyres,Are there any upcoming tire/tyre maintenance tasks?,No upcoming tire/tyre maintenance tasks are scheduled.,1
Bike,Edge,Tires/Tyres,What is the recommended tire/tyre pressure for my vehicle?,The recommended tire/tyre pressure for your vehicle is [pressure].,1
Bike,Edge,Tires/Tyres,How often should I check the tire/tyre pressure?,It's recommended to check the tire/tyre pressure once a month.,1
Bike,Edge,Tires/Tyres,Do I need winter Tires/Tyres for colder weather?,Winter Tires/Tyres are recommended for colder weather conditions.,1
Bike,Edge,Tires/Tyres,Are there any tire/tyre-related alerts or messages on the dashboard?,"No, there are no tire/tyre-related alerts on the dashboard.",1
Bike,Edge,Tires/Tyres,Can you recommend a reliable tire/tyre service center?,[Recommendation] is a reliable tire/tyre service center.,1
Bike,Edge,Tires/Tyres,Is there a tire/tyre rotation schedule I should follow?,"Yes, tire/tyre rotation is recommended every 6,000 to 8,000 miles.",1
Bike,Edge,Tires/Tyres,Are the Tires/Tyres suitable for off-road driving?,"Yes, the Tires/Tyres are suitable for off-road driving.",1
Bike,Edge,Tires/Tyres,Do I need to replace all Tires/Tyres simultaneously?,It depends on the condition of the Tires/Tyres. I'll assess whether they need to be replaced together or individually.,1
Bike,Edge,Tires/Tyres,Can you check the tire/tyre tread depth for me?,I'll measure the tire/tyre tread depth for you.,1
Bike,Edge,Tires/Tyres,What type of Tires/Tyres are currently installed on the vehicle?,[Type of Tires/Tyres] are currently installed on the vehicle.,1
Bike,Edge,Tires/Tyres,Is there a specific brand of Tires/Tyres recommended for this vehicle?,[Recommended brand] is a suitable choice for this vehicle.,1
Bike,Edge,Tires/Tyres,How do I know if my Tires/Tyres need balancing?,Uneven wear or vibrations while driving can indicate the need for tire/tyre balancing.,1
Bike,Edge,Tires/Tyres,Can you provide tips for maintaining optimal tire/tyre health?,"Sure! Regularly check tire/tyre pressure, rotate Tires/Tyres, ensure proper alignment, and avoid overloading the vehicle. Drive cautiously to minimize tire/tyre wear.",1
Bike,Edge,Tires/Tyres,Monitor tire/tyre tread depth,I'll monitor the tread depth of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre wear and tear,I'll assess the wear and tear on the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre alignment,I'll check and adjust the tire/tyre alignment.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre rotation status,I'll verify the status of tire/tyre rotation.,1
Bike,Edge,Tires/Tyres,Evaluate tire/tyre condition,I'll evaluate the overall condition of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre balance,I'll monitor the balance of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre inflation level,I'll assess the inflation level of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre puncture status,I'll verify the puncture status of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre sidewall cracks,I'll check for cracks on the tire/tyre sidewalls.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre grip and traction,I'll assess the grip and traction of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre valve condition,I'll monitor the condition of the tire/tyre valves.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre load capacity,I'll verify the load capacity of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre age and lifespan,I'll check the age and lifespan of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Inspect tire/tyre for debris,I'll inspect the Tires/Tyres for any debris.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre for bulges or bubbles,I'll monitor the Tires/Tyres for bulges or bubbles.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre for uneven wear patterns,I'll assess the Tires/Tyres for uneven wear patterns.,1
Bike,Edge,Tires/Tyres,Check tire/tyre for signs of dry rot,I'll check for signs of dry rot on the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Evaluate tire/tyre pressure sensors,I'll evaluate the pressure sensors of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre temperature sensors,I'll check the temperature sensors of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre condition indicators,I'll verify the condition indicators of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre sidewall integrity,I'll assess the integrity of the tire/tyre sidewalls.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre wear indicators,I'll monitor the wear indicators of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Evaluate tire/tyre traction control,I'll evaluate the traction control of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre pressure monitoring system (TPMS),I'll check the tire/tyre pressure monitoring system.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre air leakage detection,I'll assess the air leakage detection of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre speed rating,I'll verify the speed rating of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre load index,I'll monitor the load index of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Evaluate tire/tyre puncture detection system,I'll evaluate the puncture detection system of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre pressure warning system,I'll check the tire/tyre pressure warning system.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre treadwear rating,I'll assess the treadwear rating of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre sidewall markings,I'll verify the sidewall markings of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre rolling resistance,I'll monitor the rolling resistance of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre inflation pressure warning,I'll check the inflation pressure warning of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Assess tire/tyre grip on different road surfaces,I'll assess the grip of the Tires/Tyres on different road surfaces.,1
Bike,Edge,Tires/Tyres,Verify tire/tyre size and specifications,I'll verify the size and specifications of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Evaluate tire/tyre performance in wet conditions,I'll evaluate the performance of the Tires/Tyres in wet conditions.,1
Bike,Edge,Tires/Tyres,Check tire/tyre warranty coverage,I'll check the warranty coverage of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Evaluate tire/tyre alignment,I'll evaluate the alignment of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Check tire/tyre rotation schedule,I'll check the rotation schedule of the Tires/Tyres.,1
Bike,Edge,Tires/Tyres,Monitor tire/tyre balancing,I'll monitor the balancing of the Tires/Tyres.,1
Bike,Not needed,Greetings,Hi TVS!,Hi,1
Bike,Not needed,Greetings,"Hello, Vehicle!",Hello,1
Bike,Not needed,Greetings,Good morning!,Good morning,1
Bike,Not needed,Greetings,Good afternoon!,Good afternoon,1
Bike,Not needed,Greetings,Good evening!,Good evening,1
Bike,Not needed,Greetings,"Hey, there!",Hello,1
Bike,Not needed,Greetings,"Greetings, Electric Companion!",Hi,1
Bike,Not needed,Greetings,"Hi, Bike!",Hello,1
Bike,Not needed,Greetings,"Welcome, Rider!",Thank you,1
Bike,Not needed,Greetings,Howdy!,Hi,1
Bike,Not needed,Greetings,"Bonjour, Electric Friend!",Hi,1
Bike,Not needed,Greetings,Salutations!,Hello,1
Bike,Not needed,Greetings,Rise and shine two wheeler!,My pleasure,1
Bike,Not needed,Greetings,Aloha!,Hi,1
Bike,Not needed,Greetings,"Hola, Amigo!",Hi,1
Bike,Not needed,Greetings,"Namaste, Two-Wheeler!",Namaste,1
Bike,Not needed,Greetings,"Hi, Electric Buddy!",Hello,1
Bike,Not needed,Greetings,"Cheers, Rider!",Cheese,1
Bike,Not needed,Greetings,"What's up, Bike?",Good pal,1
Bike,Not needed,Greetings,Ahoy!,Hii,1
Bike,Not needed,Greetings,"G'day, Electric Cruiser!",Good Day,1
Bike,Not needed,Greetings,Salute!,Hii,1
Bike,Not needed,Greetings,"Yo, Biker!",Hello,1
Bike,Not needed,Greetings,Hiya!,Hello,1
Bike,Not needed,Greetings,"Sup, Two-Wheel Wonder!",Thanks for the complement,1
Bike,Not needed,Greetings,"Hallo, Electric Pal!",Hii,1
Bike,Not needed,Greetings,"Shalom, Rider!",Hello,1
Bike,Not needed,Greetings,"How's it going, Bike?",Good,1
Bike,Not needed,Greetings,Welcome aboard!,Thank you,1
Bike,Not needed,Greetings,"Hi, Electric Explorer!",Hello,1
Bike,Not needed,Greetings,How are you? ,Fine. Thanks for asking,1
Bike,Not needed,Greetings,Hi Two wheeler!,Hello,1
Bike,Not needed,Greetings,"Greetin's, Rider!",Hii,1
Bike,Not needed,Greetings,"Hello, TVs!",Hello,1
Bike,Not needed,Greetings,"Hi there, TVs!",Hi,1
Bike,Not needed,Greetings,"Hey, TVs!",Hey,1
Bike,Not needed,Greetings,"Good morning, TVs!",Good morning,1
Bike,Not needed,Greetings,"Good afternoon, TVs!",Good afternoon,1
Bike,Not needed,Greetings,"Good evening, TVs!",Good evening,1
Bike,Not needed,Greetings,"Greetings, TVs!",Hi,1
Bike,Not needed,Greetings,"Howdy, TVs!",Hello,1
Bike,Not needed,Greetings,"Salutations, TVs!",Hii,1
